Module,Tool Name,Description,Tier,Tool Count in Module
File Discovery,find_files,Fast file pattern matching,CE,3
File Discovery,stage_file,Copy files to data directory,CE,3
File Discovery,get_working_directory,Show current working directory,CE,3
Data Loading,load_csv,Load and preview CSV files,CE,3
Data Loading,load_json,Load JSON files,CE,3
Data Loading,query_database,Execute SQL queries,CE,3
Data Profiling,profile_data,Analyze data structure and quality,CE,2
Data Profiling,detect_schema_drift,Compare schemas between CSV files,CE,2
Hashing / Comparison,compare_hashes,Compare rows by hash,CE,3
Hashing / Comparison,get_orphan_details,Find records in one source but not other,CE,3
Hashing / Comparison,get_conflict_details,Find rows with same key different values,CE,3
Fuzzy Matching,fuzzy_match_columns,Find similar values between columns,CE,2
Fuzzy Matching,fuzzy_deduplicate,Find potential duplicates within a column,CE,2
PDF / OCR,extract_text_from_pdf,Extract text from PDF files,CE,3
PDF / OCR,ocr_image,Extract text from images using OCR,CE,3
PDF / OCR,parse_table_from_text,Parse tabular data from extracted text,CE,3
Workflow Management,save_workflow_step,Save reconciliation step to workflow,CE,4
Workflow Management,get_workflow,Retrieve current workflow recipe,CE,4
Workflow Management,clear_workflow,Clear all workflow steps,CE,4
Workflow Management,get_audit_log,Retrieve audit trail entries,CE,4
Data Transformation,transform_column,Apply transformations (upper lower strip etc),CE,2
Data Transformation,merge_sources,Merge two CSV sources on key columns,CE,2
Documentation,update_manifest,Regenerate MANIFEST.md documentation,CE,1
Templates (Basic),list_financial_templates,List available templates,CE,10
Templates (Basic),get_template_details,Get template structure,CE,10
Templates (Basic),create_project_from_template,Create project from template,CE,10
Templates (Basic),save_project_as_template,Save project as reusable template,CE,10
Templates (Basic),get_template_recommendations,Get AI recommendations for templates,CE,10
Templates (Basic),list_available_skills,List AI expertise skills,CE,10
Templates (Basic),get_skill_details,Get skill capabilities,CE,10
Templates (Basic),get_skill_prompt,Get system prompt for skill,CE,10
Templates (Basic),list_client_profiles,List client knowledge bases,CE,10
Templates (Basic),create_client_profile,Create new client profile,CE,10
Diff Utilities,diff_text,Compare two text strings with similarity,CE,6
Diff Utilities,diff_lists,Compare lists and identify changes,CE,6
Diff Utilities,diff_dicts,Compare dictionaries with value-level diffs,CE,6
Diff Utilities,find_similar_strings,Fuzzy lookup from list,CE,6
Diff Utilities,explain_diff,Human-readable explanation of differences,CE,6
Diff Utilities,generate_patch,Generate unified diff/patch format,CE,6
dbt Integration (Basic),create_dbt_project,Create dbt project scaffold,CE,8
dbt Integration (Basic),generate_dbt_model,Generate dbt model SQL,CE,8
dbt Integration (Basic),generate_dbt_sources,Generate sources.yml,CE,8
dbt Integration (Basic),generate_dbt_schema,Generate schema.yml,CE,8
dbt Integration (Basic),generate_dbt_metrics,Generate metrics.yml,CE,8
dbt Integration (Basic),generate_cicd_pipeline,Generate CI/CD configuration,CE,8
dbt Integration (Basic),validate_dbt_project,Validate dbt project structure,CE,8
dbt Integration (Basic),export_dbt_project,Export project to directory/ZIP,CE,8
Data Quality,generate_expectation_suite,Create data quality expectations,CE,7
Data Quality,add_column_expectation,Add column-level expectation,CE,7
Data Quality,create_data_contract,Create data contract with SLAs,CE,7
Data Quality,run_validation,Run expectation suite against data,CE,7
Data Quality,get_validation_results,Get validation history,CE,7
Data Quality,list_expectation_suites,List all suites,CE,7
Data Quality,export_data_contract,Export contract to YAML/JSON,CE,7
Hierarchy Builder,create_hierarchy_project,Create hierarchy project,Pro,44
Hierarchy Builder,list_hierarchy_projects,List hierarchy projects,Pro,44
Hierarchy Builder,get_hierarchy_project,Get hierarchy project details,Pro,44
Hierarchy Builder,delete_hierarchy_project,Delete hierarchy project,Pro,44
Hierarchy Builder,create_hierarchy,Create hierarchy node,Pro,44
Hierarchy Builder,list_hierarchies,List hierarchy nodes,Pro,44
Hierarchy Builder,get_hierarchy,Get hierarchy details,Pro,44
Hierarchy Builder,update_hierarchy,Update hierarchy node,Pro,44
Hierarchy Builder,delete_hierarchy,Delete hierarchy node,Pro,44
Hierarchy Builder,create_hierarchy_relationship,Create parent-child relationship,Pro,44
Hierarchy Builder,list_hierarchy_relationships,List relationships,Pro,44
Hierarchy Builder,delete_hierarchy_relationship,Delete relationship,Pro,44
Hierarchy Builder,create_formula_group,Create calculation formula group,Pro,44
Hierarchy Builder,list_formula_groups,List formula groups,Pro,44
Hierarchy Builder,add_formula_component,Add component to formula,Pro,44
Hierarchy Builder,remove_formula_component,Remove formula component,Pro,44
Hierarchy Builder,add_source_mapping,Map source column to hierarchy,Pro,44
Hierarchy Builder,list_source_mappings,List source mappings,Pro,44
Hierarchy Builder,update_source_mapping,Update source mapping,Pro,44
Hierarchy Builder,remove_source_mapping,Remove source mapping,Pro,44
Hierarchy Builder,import_flexible_hierarchy,Import hierarchy from CSV,Pro,44
Hierarchy Builder,export_hierarchy_csv,Export hierarchy to CSV,Pro,44
Hierarchy Builder,export_hierarchy_mapping_csv,Export mapping to CSV,Pro,44
Hierarchy Builder,export_hierarchy_simplified,Export simplified hierarchy,Pro,44
Hierarchy Builder,detect_hierarchy_format,Auto-detect import format,Pro,44
Hierarchy Builder,configure_project_defaults,Configure project defaults,Pro,44
Hierarchy Builder,preview_import,Preview import before executing,Pro,44
Hierarchy Builder,generate_deployment_script,Generate deployment SQL,Pro,44
Hierarchy Builder,deploy_to_snowflake,Deploy hierarchy to Snowflake,Pro,44
Hierarchy Builder,get_deployment_status,Check deployment status,Pro,44
Connections Management,list_backend_connections,List all database connections,Pro,16
Connections Management,get_backend_connection,Get connection details,Pro,16
Connections Management,test_backend_connection,Test connection health,Pro,16
Connections Management,get_connection_databases,List databases,Pro,16
Connections Management,get_connection_schemas,List schemas,Pro,16
Connections Management,get_connection_tables,List tables,Pro,16
Connections Management,get_connection_columns,Get column details,Pro,16
Connections Management,get_column_distinct_values,Get distinct column values,Pro,16
